,hotel_id,price,stock,city,date,language,mobile,avatar_id,group,brand,parking,pool,children_policy
84,934,70,56,rome,44,maltese,0,111612,Accar Hotels,Ibas,1,0,0
61,969,82,56,amsterdam,44,austrian,0,111612,Accar Hotels,Ibas,1,0,0
12,789,64,56,madrid,44,austrian,0,111612,Accar Hotels,Ibas,1,0,0
50,909,65,56,madrid,44,austrian,0,111612,Yin Yang,8 Premium,1,0,0
66,941,66,56,madrid,44,austrian,0,111612,Independant,Independant,1,0,0
83,915,64,56,madrid,44,austrian,0,111612,Accar Hotels,Ibas,1,0,0
30,992,81,56,paris,44,austrian,0,111612,Accar Hotels,Ibas,0,0,0
53,856,69,55,rome,44,austrian,0,111612,Accar Hotels,Ibas,1,0,0
87,934,72,56,rome,44,austrian,0,111612,Accar Hotels,Ibas,1,0,0
127,987,74,56,rome,44,austrian,0,111612,Accar Hotels,Ibas,1,0,0
112,969,80,56,amsterdam,44,lithuanian,0,111612,Accar Hotels,Ibas,1,0,0
15,909,64,56,madrid,44,lithuanian,0,111612,Yin Yang,8 Premium,1,0,0
41,789,62,56,madrid,44,lithuanian,0,111612,Accar Hotels,Ibas,1,0,0
47,915,62,56,madrid,44,lithuanian,0,111612,Accar Hotels,Ibas,1,0,0
125,987,72,56,rome,44,lithuanian,0,111612,Accar Hotels,Ibas,1,0,0
36,969,80,56,amsterdam,44,greek,0,111612,Accar Hotels,Ibas,1,0,0
2,915,62,56,madrid,44,greek,0,111612,Accar Hotels,Ibas,1,0,0
82,941,65,56,madrid,44,greek,0,111612,Independant,Independant,1,0,0
105,789,62,56,madrid,44,greek,0,111612,Accar Hotels,Ibas,1,0,0
112,909,64,56,madrid,44,greek,0,111612,Yin Yang,8 Premium,1,0,0
74,992,79,56,paris,44,greek,0,111612,Accar Hotels,Ibas,0,0,0
3,987,72,56,rome,44,greek,0,111612,Accar Hotels,Ibas,1,0,0
10,934,71,56,rome,44,greek,0,111612,Accar Hotels,Ibas,1,0,0
120,856,68,55,rome,44,greek,0,111612,Accar Hotels,Ibas,1,0,0
46,969,79,23,amsterdam,25,dutch,0,111612,Accar Hotels,Ibas,1,0,0
41,888,225,69,madrid,25,dutch,0,111612,Morriott International,Corlton,1,0,1
43,909,70,11,madrid,25,dutch,0,111612,Yin Yang,8 Premium,1,0,0
101,789,74,12,madrid,25,dutch,0,111612,Accar Hotels,Ibas,1,0,0
54,969,82,23,amsterdam,25,danish,0,111612,Accar Hotels,Ibas,1,0,0
79,971,165,31,amsterdam,25,danish,0,111612,Chillton Worldwide,Tripletree,1,0,0
9,909,74,11,madrid,25,danish,0,111612,Yin Yang,8 Premium,1,0,0
34,857,104,32,madrid,25,danish,0,111612,Accar Hotels,Navatel,1,0,0
50,982,161,50,madrid,25,danish,0,111612,Morriott International,Morriot,1,0,0
57,789,79,12,madrid,25,danish,0,111612,Accar Hotels,Ibas,1,0,0
61,888,239,69,madrid,25,danish,0,111612,Morriott International,Corlton,1,0,1
73,997,145,36,madrid,25,danish,0,111612,Chillton Worldwide,Tripletree,0,0,0
103,798,244,61,madrid,25,danish,0,111612,Accar Hotels,Safitel,0,0,1
18,934,81,21,rome,25,danish,0,111612,Accar Hotels,Ibas,1,0,0
14,974,126,34,vilnius,25,danish,0,111612,Chillton Worldwide,Tripletree,1,0,0
49,954,132,38,vilnius,25,danish,0,111612,Chillton Worldwide,Tripletree,1,0,0
16,789,73,12,madrid,25,spanish,0,111612,Accar Hotels,Ibas,1,0,0
76,909,69,11,madrid,25,spanish,0,111612,Yin Yang,8 Premium,1,0,0
84,888,221,69,madrid,25,spanish,0,111612,Morriott International,Corlton,1,0,1
65,888,225,69,madrid,25,french,0,111612,Morriott International,Corlton,1,0,1
51,909,70,11,madrid,25,italian,0,111612,Yin Yang,8 Premium,1,0,0
12,969,79,23,amsterdam,25,bulgarian,0,111612,Accar Hotels,Ibas,1,0,0
8,789,74,12,madrid,25,bulgarian,0,111612,Accar Hotels,Ibas,1,0,0
34,888,225,69,madrid,25,bulgarian,0,111612,Morriott International,Corlton,1,0,1
44,909,70,11,madrid,25,bulgarian,0,111612,Yin Yang,8 Premium,1,0,0
91,982,151,50,madrid,25,bulgarian,0,111612,Morriott International,Morriot,1,0,0
78,934,74,21,rome,25,bulgarian,0,111612,Accar Hotels,Ibas,1,0,0
49,974,116,34,vilnius,25,bulgarian,0,111612,Chillton Worldwide,Tripletree,1,0,0
126,969,82,23,amsterdam,25,maltese,0,111612,Accar Hotels,Ibas,1,0,0
36,909,71,11,madrid,25,maltese,0,111612,Yin Yang,8 Premium,1,0,0
52,888,229,69,madrid,25,maltese,0,111612,Morriott International,Corlton,1,0,1
106,789,76,12,madrid,25,maltese,0,111612,Accar Hotels,Ibas,1,0,0
100,969,84,23,amsterdam,25,austrian,0,111612,Accar Hotels,Ibas,1,0,0
111,971,168,31,amsterdam,25,austrian,0,111612,Chillton Worldwide,Tripletree,1,0,0
19,888,239,69,madrid,25,austrian,0,111612,Morriott International,Corlton,1,0,1
27,982,161,50,madrid,25,austrian,0,111612,Morriott International,Morriot,1,0,0
28,909,74,11,madrid,25,austrian,0,111612,Yin Yang,8 Premium,1,0,0
36,997,145,36,madrid,25,austrian,0,111612,Chillton Worldwide,Tripletree,0,0,0
102,857,104,32,madrid,25,austrian,0,111612,Accar Hotels,Navatel,1,0,0
111,789,79,12,madrid,25,austrian,0,111612,Accar Hotels,Ibas,1,0,0
11,934,79,21,rome,25,austrian,0,111612,Accar Hotels,Ibas,1,0,0
25,974,126,34,vilnius,25,austrian,0,111612,Chillton Worldwide,Tripletree,1,0,0
18,909,73,11,madrid,25,lithuanian,0,111612,Yin Yang,8 Premium,1,0,0
37,888,234,69,madrid,25,lithuanian,0,111612,Morriott International,Corlton,1,0,1
84,789,77,12,madrid,25,lithuanian,0,111612,Accar Hotels,Ibas,1,0,0
39,969,82,23,amsterdam,25,greek,0,111612,Accar Hotels,Ibas,1,0,0
7,789,77,12,madrid,25,greek,0,111612,Accar Hotels,Ibas,1,0,0
93,909,73,11,madrid,25,greek,0,111612,Yin Yang,8 Premium,1,0,0
95,982,158,50,madrid,25,greek,0,111612,Morriott International,Morriot,1,0,0
99,888,234,69,madrid,25,greek,0,111612,Morriott International,Corlton,1,0,1
125,934,78,21,rome,25,greek,0,111612,Accar Hotels,Ibas,1,0,0
84,974,121,34,vilnius,25,greek,0,111612,Chillton Worldwide,Tripletree,1,0,0
34,888,225,40,madrid,15,dutch,0,111612,Morriott International,Corlton,1,0,1
60,798,286,19,madrid,15,dutch,0,111612,Accar Hotels,Safitel,0,0,1
87,897,355,18,rome,15,dutch,0,111612,Chillton Worldwide,Chill Garden Inn,1,0,2
31,798,303,19,madrid,15,danish,0,111612,Accar Hotels,Safitel,0,0,1
39,789,85,3,madrid,15,danish,0,111612,Accar Hotels,Ibas,1,0,0
62,982,189,15,madrid,15,danish,0,111612,Morriott International,Morriot,1,0,0
70,888,239,40,madrid,15,danish,0,111612,Morriott International,Corlton,1,0,1
15,897,369,18,rome,15,danish,0,111612,Chillton Worldwide,Chill Garden Inn,1,0,2
101,929,367,16,rome,15,danish,0,111612,Accar Hotels,Safitel,1,0,0
16,982,178,15,madrid,15,bulgarian,0,111612,Morriott International,Morriot,1,0,0
35,798,286,19,madrid,15,bulgarian,0,111612,Accar Hotels,Safitel,0,0,1
92,888,225,40,madrid,15,bulgarian,0,111612,Morriott International,Corlton,1,0,1
28,929,339,16,rome,15,bulgarian,0,111612,Accar Hotels,Safitel,1,0,0
112,897,341,18,rome,15,bulgarian,0,111612,Chillton Worldwide,Chill Garden Inn,1,0,2
47,798,292,19,madrid,15,maltese,0,111612,Accar Hotels,Safitel,0,0,1
96,888,229,40,madrid,15,maltese,0,111612,Morriott International,Corlton,1,0,1
56,897,348,18,rome,15,maltese,0,111612,Chillton Worldwide,Chill Garden Inn,1,0,2
58,888,239,40,madrid,15,austrian,0,111612,Morriott International,Corlton,1,0,1
74,789,85,3,madrid,15,austrian,0,111612,Accar Hotels,Ibas,1,0,0
77,982,189,15,madrid,15,austrian,0,111612,Morriott International,Morriot,1,0,0
84,798,303,19,madrid,15,austrian,0,111612,Accar Hotels,Safitel,0,0,1
53,929,360,16,rome,15,austrian,0,111612,Accar Hotels,Safitel,1,0,0
55,897,362,18,rome,15,austrian,0,111612,Chillton Worldwide,Chill Garden Inn,1,0,2
32,982,185,15,madrid,15,greek,0,111612,Morriott International,Morriot,1,0,0
41,798,297,19,madrid,15,greek,0,111612,Accar Hotels,Safitel,0,0,1
60,888,234,40,madrid,15,greek,0,111612,Morriott International,Corlton,1,0,1
32,929,353,16,rome,15,greek,0,111612,Accar Hotels,Safitel,1,0,0
41,897,355,18,rome,15,greek,0,111612,Chillton Worldwide,Chill Garden Inn,1,0,2
56,888,239,26,madrid,8,danish,0,111612,Morriott International,Corlton,1,0,1
97,798,392,7,madrid,8,danish,0,111612,Accar Hotels,Safitel,0,0,1
117,897,423,8,rome,8,danish,0,111612,Chillton Worldwide,Chill Garden Inn,1,0,2
59,888,225,26,madrid,8,bulgarian,0,111612,Morriott International,Corlton,1,0,1
74,798,392,7,madrid,8,austrian,0,111612,Accar Hotels,Safitel,0,0,1
112,888,239,26,madrid,8,austrian,0,111612,Morriott International,Corlton,1,0,1
35,897,414,8,rome,8,austrian,0,111612,Chillton Worldwide,Chill Garden Inn,1,0,2
5,888,234,26,madrid,8,greek,0,111612,Morriott International,Corlton,1,0,1
54,888,239,20,madrid,5,danish,0,111612,Morriott International,Corlton,1,0,1
78,888,239,20,madrid,5,austrian,0,111612,Morriott International,Corlton,1,0,1
80,888,239,18,madrid,4,austrian,0,111612,Morriott International,Corlton,1,0,1
3,789,58,44,madrid,40,hungarian,0,303616,Accar Hotels,Ibas,1,0,0
62,915,59,45,madrid,40,hungarian,0,303616,Accar Hotels,Ibas,1,0,0
66,909,62,43,madrid,40,hungarian,0,303616,Yin Yang,8 Premium,1,0,0
74,941,59,44,madrid,40,hungarian,0,303616,Independant,Independant,1,0,0
32,934,65,46,rome,40,hungarian,1,303616,Accar Hotels,Ibas,1,0,0
66,987,70,45,rome,40,hungarian,1,303616,Accar Hotels,Ibas,1,0,0
0,789,59,44,madrid,40,irish,0,303616,Accar Hotels,Ibas,1,0,0
58,915,60,45,madrid,40,irish,0,303616,Accar Hotels,Ibas,1,0,0
63,941,60,44,madrid,40,irish,0,303616,Independant,Independant,1,0,0
100,909,64,43,madrid,40,irish,0,303616,Yin Yang,8 Premium,1,0,0
45,723,82,44,paris,40,finnish,1,303616,Accar Hotels,Ibas,1,0,0
71,827,88,43,paris,40,finnish,1,303616,Yin Yang,8 Premium,1,0,0
23,934,69,46,rome,40,greek,1,303616,Accar Hotels,Ibas,1,0,0
104,987,74,45,rome,40,greek,1,303616,Accar Hotels,Ibas,1,0,0
21,987,72,45,rome,40,slovakian,1,303616,Accar Hotels,Ibas,1,0,0
28,934,67,46,rome,40,slovakian,1,303616,Accar Hotels,Ibas,1,0,0
30,898,85,46,copenhagen,40,czech,0,303616,Yin Yang,8 Premium,1,0,0
46,989,91,42,copenhagen,40,czech,0,303616,Accar Hotels,Ibas,0,0,0
33,643,78,43,valletta,40,finnish,1,303616,Accar Hotels,Ibas,1,0,0
34,928,80,45,vienna,40,latvian,0,303616,Accar Hotels,Ibas,0,0,0
60,969,75,47,amsterdam,40,estonian,0,303616,Accar Hotels,Ibas,1,0,0
8,827,80,43,paris,40,hungarian,1,303616,Yin Yang,8 Premium,1,0,0
131,723,74,44,paris,40,hungarian,1,303616,Accar Hotels,Ibas,1,0,0
16,955,53,44,vilnius,40,hungarian,0,303616,Yin Yang,8 Premium,0,0,0
24,914,53,41,vilnius,40,hungarian,0,303616,Yin Yang,8 Premium,0,0,0
78,935,56,44,vilnius,40,hungarian,0,303616,Yin Yang,8 Premium,0,0,0
88,956,76,83,vilnius,40,hungarian,0,303616,Boss Western,Boss Western,1,0,0
69,890,79,42,vienna,40,swedish,0,303616,Yin Yang,8 Premium,1,0,0
83,928,83,45,vienna,40,swedish,0,303616,Accar Hotels,Ibas,0,0,0
34,915,62,45,madrid,40,bulgarian,0,303616,Accar Hotels,Ibas,1,0,0
58,909,65,43,madrid,40,bulgarian,0,303616,Yin Yang,8 Premium,1,0,0
63,789,61,44,madrid,40,bulgarian,0,303616,Accar Hotels,Ibas,1,0,0
73,969,74,47,amsterdam,40,hungarian,0,303616,Accar Hotels,Ibas,1,0,0
0,643,73,43,valletta,40,hungarian,1,303616,Accar Hotels,Ibas,1,0,0
5,955,55,44,vilnius,40,croatian,0,303616,Yin Yang,8 Premium,0,0,0
20,935,58,44,vilnius,40,croatian,0,303616,Yin Yang,8 Premium,0,0,0
85,956,79,83,vilnius,40,croatian,0,303616,Boss Western,Boss Western,1,0,0
116,989,89,42,copenhagen,40,hungarian,0,303616,Accar Hotels,Ibas,0,0,0
45,956,85,83,vilnius,40,danish,0,303616,Boss Western,Boss Western,1,0,0
70,989,90,42,copenhagen,40,slovakian,0,303616,Accar Hotels,Ibas,0,0,0
52,928,80,45,vienna,40,estonian,0,303616,Accar Hotels,Ibas,0,0,0
76,969,78,47,amsterdam,40,french,0,303616,Accar Hotels,Ibas,1,0,0
3,909,72,40,madrid,39,austrian,1,303616,Yin Yang,8 Premium,1,0,0
79,789,66,40,madrid,39,austrian,1,303616,Accar Hotels,Ibas,1,0,0
91,915,67,43,madrid,39,austrian,1,303616,Accar Hotels,Ibas,1,0,0
108,941,67,41,madrid,39,austrian,1,303616,Independant,Independant,1,0,0
34,934,73,43,rome,39,estonian,1,303616,Accar Hotels,Ibas,1,0,0
75,987,76,42,rome,39,estonian,1,303616,Accar Hotels,Ibas,1,0,0
52,989,93,40,copenhagen,39,estonian,1,303616,Accar Hotels,Ibas,0,0,0
62,934,77,43,rome,39,swedish,1,303616,Accar Hotels,Ibas,1,0,0
91,987,81,42,rome,39,swedish,1,303616,Accar Hotels,Ibas,1,0,0
73,989,99,40,copenhagen,39,swedish,1,303616,Accar Hotels,Ibas,0,0,0
77,956,78,76,vilnius,39,estonian,0,303616,Boss Western,Boss Western,1,0,0
78,955,54,41,vilnius,39,estonian,0,303616,Yin Yang,8 Premium,0,0,0
61,956,86,76,vilnius,39,danish,0,303616,Boss Western,Boss Western,1,0,0
1,956,85,76,vilnius,39,finnish,0,303616,Boss Western,Boss Western,1,0,0
16,974,114,100,vilnius,39,finnish,0,303616,Chillton Worldwide,Tripletree,1,0,0
51,935,62,41,vilnius,39,finnish,0,303616,Yin Yang,8 Premium,0,0,0
56,955,59,41,vilnius,39,finnish,0,303616,Yin Yang,8 Premium,0,0,0
77,914,61,39,vilnius,39,finnish,0,303616,Yin Yang,8 Premium,0,0,0
57,928,79,43,vienna,39,hungarian,1,303616,Accar Hotels,Ibas,0,0,0
71,919,72,42,vienna,39,hungarian,1,303616,Yin Yang,8 Premium,0,0,0
94,890,78,40,vienna,39,hungarian,1,303616,Yin Yang,8 Premium,1,0,0
125,969,78,45,amsterdam,39,hungarian,0,303616,Accar Hotels,Ibas,1,0,0
40,643,82,41,valletta,39,finnish,1,303616,Accar Hotels,Ibas,1,0,0
40,909,69,40,madrid,39,german,1,303616,Yin Yang,8 Premium,1,0,0
49,941,64,41,madrid,39,german,1,303616,Independant,Independant,1,0,0
58,915,65,43,madrid,39,german,1,303616,Accar Hotels,Ibas,1,0,0
95,789,63,40,madrid,39,german,1,303616,Accar Hotels,Ibas,1,0,0
9,941,63,41,madrid,39,bulgarian,1,303616,Independant,Independant,1,0,0
26,789,62,40,madrid,39,bulgarian,1,303616,Accar Hotels,Ibas,1,0,0
27,909,68,40,madrid,39,bulgarian,1,303616,Yin Yang,8 Premium,1,0,0
93,915,63,43,madrid,39,bulgarian,1,303616,Accar Hotels,Ibas,1,0,0
24,956,81,76,vilnius,39,latvian,0,303616,Boss Western,Boss Western,1,0,0
6,643,74,41,valletta,39,slovakian,1,303616,Accar Hotels,Ibas,1,0,0
21,919,73,42,vienna,39,romanian,1,303616,Yin Yang,8 Premium,0,0,0
37,928,81,43,vienna,39,romanian,1,303616,Accar Hotels,Ibas,0,0,0
95,890,80,40,vienna,39,romanian,1,303616,Yin Yang,8 Premium,1,0,0
23,928,82,43,vienna,39,croatian,1,303616,Accar Hotels,Ibas,0,0,0
55,890,81,40,vienna,39,croatian,1,303616,Yin Yang,8 Premium,1,0,0
43,969,79,45,amsterdam,39,estonian,0,303616,Accar Hotels,Ibas,1,0,0
125,969,82,45,amsterdam,39,greek,0,303616,Accar Hotels,Ibas,1,0,0
63,934,73,43,rome,39,slovene,1,303616,Accar Hotels,Ibas,1,0,0
92,987,76,42,rome,39,slovene,1,303616,Accar Hotels,Ibas,1,0,0
46,934,71,41,rome,38,slovakian,0,303616,Accar Hotels,Ibas,1,0,0
72,928,81,41,vienna,38,estonian,0,303616,Accar Hotels,Ibas,0,0,0
21,909,73,38,madrid,38,latvian,0,303616,Yin Yang,8 Premium,1,0,0
46,789,68,38,madrid,38,latvian,0,303616,Accar Hotels,Ibas,1,0,0
101,941,69,38,madrid,38,latvian,0,303616,Independant,Independant,1,0,0
0,928,82,41,vienna,38,slovene,0,303616,Accar Hotels,Ibas,0,0,0
82,890,81,38,vienna,38,slovene,0,303616,Yin Yang,8 Premium,1,0,0
27,934,74,41,rome,38,maltese,0,303616,Accar Hotels,Ibas,1,0,0
4,955,61,38,vilnius,38,swedish,1,303616,Yin Yang,8 Premium,0,0,0
21,954,119,98,vilnius,38,swedish,1,303616,Chillton Worldwide,Tripletree,1,0,0
27,935,62,38,vilnius,38,swedish,1,303616,Yin Yang,8 Premium,0,0,0
31,956,88,71,vilnius,38,swedish,1,303616,Boss Western,Boss Western,1,0,0
63,914,61,37,vilnius,38,swedish,1,303616,Yin Yang,8 Premium,0,0,0
82,974,114,94,vilnius,38,swedish,1,303616,Chillton Worldwide,Tripletree,1,0,0
3,928,82,41,vienna,38,czech,1,303616,Accar Hotels,Ibas,0,0,0
12,977,116,73,vienna,38,czech,1,303616,Accar Hotels,Navatel,0,0,0
17,919,75,39,vienna,38,czech,1,303616,Yin Yang,8 Premium,0,0,0
19,775,84,37,vienna,38,czech,1,303616,Yin Yang,8 Premium,1,0,0
43,890,81,38,vienna,38,czech,1,303616,Yin Yang,8 Premium,1,0,0
20,789,64,38,madrid,38,hungarian,0,303616,Accar Hotels,Ibas,1,0,0
33,909,68,38,madrid,38,hungarian,0,303616,Yin Yang,8 Premium,1,0,0
51,941,65,38,madrid,38,hungarian,0,303616,Independant,Independant,1,0,0
63,857,88,77,madrid,38,hungarian,0,303616,Accar Hotels,Navatel,1,0,0
39,916,106,76,amsterdam,38,hungarian,0,303616,Boss Western,Boss Western,1,0,0
43,969,78,44,amsterdam,38,hungarian,0,303616,Accar Hotels,Ibas,1,0,0
24,643,74,40,valletta,38,slovakian,1,303616,Accar Hotels,Ibas,1,0,0
10,969,84,44,amsterdam,38,austrian,0,303616,Accar Hotels,Ibas,1,0,0
11,643,82,40,valletta,38,finnish,1,303616,Accar Hotels,Ibas,1,0,0
56,969,82,44,amsterdam,38,maltese,0,303616,Accar Hotels,Ibas,1,0,0
11,934,78,41,rome,38,swedish,0,303616,Accar Hotels,Ibas,1,0,0
23,956,85,71,vilnius,38,polish,1,303616,Boss Western,Boss Western,1,0,0
36,974,109,94,vilnius,38,polish,1,303616,Chillton Worldwide,Tripletree,1,0,0
38,955,59,38,vilnius,38,polish,1,303616,Yin Yang,8 Premium,0,0,0
46,935,60,38,vilnius,38,polish,1,303616,Yin Yang,8 Premium,0,0,0
58,914,59,37,vilnius,38,polish,1,303616,Yin Yang,8 Premium,0,0,0
80,954,115,98,vilnius,38,polish,1,303616,Chillton Worldwide,Tripletree,1,0,0
31,890,86,38,vienna,38,finnish,0,303616,Yin Yang,8 Premium,1,0,0
87,928,87,41,vienna,38,finnish,0,303616,Accar Hotels,Ibas,0,0,0
36,974,114,94,vilnius,38,maltese,1,303616,Chillton Worldwide,Tripletree,1,0,0
65,956,88,71,vilnius,38,maltese,1,303616,Boss Western,Boss Western,1,0,0
3,974,107,94,vilnius,38,romanian,1,303616,Chillton Worldwide,Tripletree,1,0,0
26,954,112,98,vilnius,38,romanian,1,303616,Chillton Worldwide,Tripletree,1,0,0
28,950,73,39,vilnius,38,romanian,1,303616,Independant,Independant,1,0,0
29,955,58,38,vilnius,38,romanian,1,303616,Yin Yang,8 Premium,0,0,0
36,956,83,71,vilnius,38,romanian,1,303616,Boss Western,Boss Western,1,0,0
76,914,58,37,vilnius,38,romanian,1,303616,Yin Yang,8 Premium,0,0,0
79,758,61,39,vilnius,38,romanian,1,303616,Accar Hotels,Ibas,0,0,0
82,935,59,38,vilnius,38,romanian,1,303616,Yin Yang,8 Premium,0,0,0
87,969,86,44,amsterdam,38,finnish,0,303616,Accar Hotels,Ibas,1,0,0
0,985,70,80,valletta,38,czech,1,303616,Independant,Independant,1,0,0
44,643,78,40,valletta,38,czech,1,303616,Accar Hotels,Ibas,1,0,0
17,909,76,38,madrid,38,swedish,0,303616,Yin Yang,8 Premium,1,0,0
54,941,72,38,madrid,38,swedish,0,303616,Independant,Independant,1,0,0
99,789,71,38,madrid,38,swedish,0,303616,Accar Hotels,Ibas,1,0,0
105,857,97,77,madrid,38,swedish,0,303616,Accar Hotels,Navatel,1,0,0
41,989,92,38,copenhagen,38,slovakian,0,303616,Accar Hotels,Ibas,0,0,0
13,928,79,39,vienna,37,slovakian,1,303616,Accar Hotels,Ibas,0,0,0
97,890,78,36,vienna,37,slovakian,1,303616,Yin Yang,8 Premium,1,0,0
17,989,99,36,copenhagen,37,swedish,1,303616,Accar Hotels,Ibas,0,0,0
17,974,114,88,vilnius,37,swedish,0,303616,Chillton Worldwide,Tripletree,1,0,0
19,955,61,36,vilnius,37,swedish,0,303616,Yin Yang,8 Premium,0,0,0
27,956,88,66,vilnius,37,swedish,0,303616,Boss Western,Boss Western,1,0,0
30,954,119,90,vilnius,37,swedish,0,303616,Chillton Worldwide,Tripletree,1,0,0
34,935,66,36,vilnius,37,swedish,0,303616,Yin Yang,8 Premium,0,0,0
21,643,74,38,valletta,37,hungarian,0,303616,Accar Hotels,Ibas,1,0,0
20,789,64,36,madrid,37,slovakian,0,303616,Accar Hotels,Ibas,1,0,0
36,857,88,72,madrid,37,slovakian,0,303616,Accar Hotels,Navatel,1,0,0
67,941,65,36,madrid,37,slovakian,0,303616,Independant,Independant,1,0,0
82,904,95,68,madrid,37,slovakian,0,303616,Boss Western,Boss Western,0,0,0
87,997,123,86,madrid,37,slovakian,0,303616,Chillton Worldwide,Tripletree,0,0,0
105,909,68,35,madrid,37,slovakian,0,303616,Yin Yang,8 Premium,1,0,0
127,989,92,36,copenhagen,37,slovakian,1,303616,Accar Hotels,Ibas,0,0,0
28,969,86,42,amsterdam,37,finnish,0,303616,Accar Hotels,Ibas,1,0,0
68,916,117,71,amsterdam,37,finnish,0,303616,Boss Western,Boss Western,1,0,0
11,954,112,90,vilnius,37,slovakian,0,303616,Chillton Worldwide,Tripletree,1,0,0
42,974,107,88,vilnius,37,slovakian,0,303616,Chillton Worldwide,Tripletree,1,0,0
59,955,58,36,vilnius,37,slovakian,0,303616,Yin Yang,8 Premium,0,0,0
70,956,83,66,vilnius,37,slovakian,0,303616,Boss Western,Boss Western,1,0,0
96,989,97,36,copenhagen,37,polish,1,303616,Accar Hotels,Ibas,0,0,0
60,934,72,39,rome,37,bulgarian,0,303616,Accar Hotels,Ibas,1,0,0
7,969,78,42,amsterdam,37,slovakian,0,303616,Accar Hotels,Ibas,1,0,0
1,954,115,90,vilnius,37,polish,1,303616,Chillton Worldwide,Tripletree,1,0,0
11,914,59,36,vilnius,37,polish,1,303616,Yin Yang,8 Premium,0,0,0
13,974,109,88,vilnius,37,polish,1,303616,Chillton Worldwide,Tripletree,1,0,0
21,956,85,66,vilnius,37,polish,1,303616,Boss Western,Boss Western,1,0,0
80,955,59,36,vilnius,37,polish,1,303616,Yin Yang,8 Premium,0,0,0
